home  хатні
you  вы (з малой літары)
login  1)лагін 2)уваходзіць, уваход, г.д.
logoff  выйсце, выходзіць
interactive  інтэрактыўны
expire  мінае тэрмін дзеяння
password  пароль
set  прызначаць
apply  ужываць, ужыць
member  чалец, Р чальца, мн. чальцы
profile  профіль
path  шлях
remote  аддалены
script  сцэнар
ID  ID
identifier  ідэнтыфікатар
shell  абалонка
administrator  адміністратар
admin  адміністратар
administrative  адміністратыўны
object  аб'ект
properties  уласцівасці
type  тып
account  рахунак
control  кіраваць
controller  кантролер
manage  кіраваць
manager  кіраўнік
comment  каментар
picture  малюнак
image  выява, выяўляць, выяўляльны
version  версія
revision  перагляд
edition  выпуск
release  публікаванне, публікаваць, апублікаваць
installation усталёўка
installing  усталяванне
uninstallation высталёўка
uninstalling  высталяванне
work  працаваць; і усе вытворныя з коранем -прац-
available  даступны
space  прастора
desktop  стальніца
sortcut  (на стальніцы) цэтлік (пакуль)
Windows  Windows
Microsoft  Microsoft
embed  укараняць
status  стан
state  стан
e-mail  э-пошта
e-mail address  э-адрас
e-mail 'нешта'  э-'нешта'
player  плэер
media player  медыяплэер
video player  відэаплэер
audio player  аўдыяплэер
UI  КІ (карыстальніцкі інтэрфэйс)
dialog  дыялог
map падключыць
connect  праз сетку - злучыць (з), не праз сетку - падключыць
disconnect  праз сетку - адлучыць (ад), не праз сетку - адключыць (ад)
group  група
filter  фільтр
show  паказаць, паказваць
resource  рэсурс
source  крыніца
browse  агляд, аглядаць
browser  аглядальнік
explorer  вандроўнік
view  праглЕдзець
address  адрас
layout  пабудова
block  блакаваць
unblock  разблакаваць
attribute  атрыбут
security  бяспека
secure  бяспечны
general  агульны
advanced  дадатковы
location  размяшчэнне
abort  перарваць
aborted  перарваны
descriptor  дэскрыптар
reminder  напамінак
free  вольны
flag  сцяг
flagged  сцягаваны
source  зыходны
original  зыходны
dimensions  памеры
to do  задача; to do list - спіс задач
specify  азначаць, азначыць
define  вызначаць, вызначыць
rank  ступень
mode  рэжым
compulsory  прымусова
identity  пасведчанне
designed for  распрацавана для
handler  апрацоўнік
handle  трымальнік
reset  скінуць, скідваць
are you sure you want to...  вы сапраўды жадаеце...
do you want to...  ... (do you want to continue? - працягнуць?)
make sure  пераканайцеся
impact  уплываць, паўплываць
such as  кшталту
unicast  юнікаст, -а
nonunicast  неюнікаст, -а
try again  паспрабуйце зноў
for more information  для дадатковай інфармацыі, па дадатковую інфармацыю (For more information, go online - Для дадатковай інфармацыі перайдзіце ў сеціва. / Contact administrator for more information - Звяжыцеся з адміністратарам па дадатковую інфармацыю)
