home  хатн≥
you  вы (з малой л≥тары)
login  1)лаг≥н 2)уваходз≥ць, уваход, г.д.
logoff  выйсце, выходз≥ць
interactive  ≥нтэрактыҐны
expire  м≥нае тэрм≥н дзе€нн€
password  пароль
set  прызначаць
apply  ужываць, ужыць
member  чалец, – чальца, мн. чальцы
profile  проф≥ль
path  шл€х
remote  аддалены
script  сцэнар
ID  ID
identifier  ≥дэнтыф≥катар
shell  абалонка
administrator  адм≥н≥стратар
admin  адм≥н≥стратар
administrative  адм≥н≥стратыҐны
object  аб'ект
properties  уласц≥васц≥
type  тып
account  рахунак
control  к≥раваць
controller  кантролер
manage  к≥раваць
manager  к≥раҐн≥к
comment  каментар
picture  малюнак
image  вы€ва, вы€Ґл€ць, вы€Ґл€льны
version  верс≥€
revision  перагл€д
edition  выпуск
release  публ≥каванне, публ≥каваць, апубл≥каваць
installation усталЄҐка
installing  устал€ванне
uninstallation высталЄҐка
uninstalling  выстал€ванне
work  працаваць; ≥ усе вытворны€ з коранем -прац-
available  даступны
space  прастора
desktop  стальн≥ца
sortcut  (на стальн≥цы) цэтл≥к (пакуль)
Windows  Windows
Microsoft  Microsoft
embed  укаран€ць
status  стан
state  стан
e-mail  э-пошта
e-mail address  э-адрас
e-mail 'нешта'  э-'нешта'
player  плэер
media player  меды€плэер
video player  в≥дэаплэер
audio player  аҐды€плэер
UI   ≤ (карыстальн≥цк≥ ≥нтэрфэйс)
dialog  ды€лог
map падключыць
connect  праз сетку - злучыць (з), не праз сетку - падключыць
disconnect  праз сетку - адлучыць (ад), не праз сетку - адключыць (ад)
group  група
filter  ф≥льтр
show  паказаць, паказваць
resource  рэсурс
source  крын≥ца
browse  агл€д, агл€даць
browser  агл€дальн≥к
explorer  вандроҐн≥к
view  прагл≈дзець
address  адрас
layout  пабудова
block  блакаваць
unblock  разблакаваць
attribute  атрыбут
security  б€спека
secure  б€спечны
general  агульны
advanced  дадатковы
location  разм€шчэнне
abort  перарваць
aborted  перарваны
descriptor  дэскрыптар
reminder  напам≥нак
free  вольны
flag  сц€г
flagged  сц€гаваны
source  зыходны
original  зыходны
dimensions  памеры
to do  задача; to do list - сп≥с задач
specify  азначаць, азначыць
define  вызначаць, вызначыць
rank  ступень
mode  рэжым
compulsory  прымусова
identity  пасведчанне
designed for  распрацавана дл€
handler  апрацоҐн≥к
handle  трымальн≥к
reset  ск≥нуць, ск≥дваць
